	TE	position	score	3v5_effect	MeanCoverage	Coverage_effect	size_ratio	full_length	size_effect	Metric	Activated
0	L1PA2_dup680	chr2:208894675-208900079	6.725806923040454	1.0	0.03682457438934123	0.2070326013022454	0.8935185185185185	0	1.0	1.3924613031337163	0
1	L1PA7_dup11462	chr14:57020916-57021202	0.366766823497087	0.9902937746850178	0.004662004662004662	0.005801101259802009	0.04423136405815033	0	0.07738932332988123	0.0001630593055846807	0
2	L1PA5_dup7112	chrX:109932085-109932690	-0.3195803404630221	1.0	0.005509641873278237	0.00713382614561372	0.0984540276647681	0	0.3419907665074019	-0.0007796810104405174	0
3	L1PA4_dup3280	chr4:137867250-137868640	0.3084694502097708	0.9927019373808803	0.010311750599520384	0.01672331589885921	0.22597951552593074	0	1.0	0.005120984041195202	0
4	L1PA8_dup5561	chr10:80823582-80823995	0.3654590132510923	1.0456693436344104	0.002421307506053269	0.0027124254305741853	0.06374440500077172	0	0.14274882916472173	0.00014796650485863832	0
5	L1HS_dup1011	chrX:65209677-65211107	0.2862025165232305	0.6826382386329845	0.6988344988344988	1.543699362722748	0.23640271119193254	0	1.0	0.30159683871441434	0
6	L1PA7_dup11271	chr14:29022110-29022795	4.508468846698178	0.8380615051018695	0.027737226277372264	0.10183755179614881	0.10593875657284256	0	0.404526820957925	0.1556539826794128	0
7	L1PA7_dup4747	chr5:148275961-148279091	0.1122442834610625	1.0454362105823818	0.00021299254526091588	0.00021513041482477266	0.4840705227343025	0	1.0	2.5244314675913535e-05	0
8	L1PA7_dup4987	chr6:29078775-29079061	0.8099831956772529	1.045482258150391	0.011655011655011656	0.020130616210325553	0.04423136405815033	0	0.07738932332988123	0.0013192612142694268	0
9	L1PA3_dup1457	chr2:207000911-207006934	0.3391179665370818	1.0	0.03137971110742155	0.13666898026277333	0.9779184932618932	0	1.0	0.04634690667540826	0
10	L1PA2_dup2508	chr8:66949104-66955119	5.968090588054606	1.0472946549491322	0.06722083679689665	1.007191666995879	0.9945436507936508	0	1.0	6.295299804421205	1
11	L1PA3_dup1994	chr3:109508197-109514400	1.2806908218270685	1.0	0.01080122521360632	0.017923827141378443	1.007144016885858	1	1.0	0.022954880911978275	0
12	L1PA3_dup6333	chrX:50031724-50033114	0.5993995447585997	1.058756310772178	0.10863309352517984	1.0482796658341331	0.2256859879850625	0	1.0	0.6652571981066221	0
13	L1PA6_dup55	chr1:46654561-46654932	0.3654590132510923	1.0462737269178861	0.004492362982929021	0.00554572046429572	0.06016866688290626	0	0.12878353039113138	0.0002730877997696803	0
14	L1PA3_dup3094	chr4:170238128-170238719	0.11197154606667	1.0	0.0022560631697687533	0.002507806681403606	0.09595713589868485	0	0.32295605416186973	9.06870260842425e-05	0
15	L1PA5_dup2345	chr3:165900348-165902889	0.8049731429787486	0.9951341723017599	0.0022300931391840482	0.0024759219127644273	0.41350691619202606	0	1.0	0.001983352802860911	0
